Domain,Competitor's keywords,Common keywords,Share,Target's keywords,DR,Previous traffic,Current  traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Previous # of pages,Current # of pages,Pages change
fundingtraders.com,823,396,17.8%,1002,47,4046,4587,541,12462.70,14233.62,1770.92,179,168,-11
thefundedtraderprogram.com,1522,448,15.3%,950,55,13623,13080,-542,29234.62,29150.86,-83.76,202,178,-24
fxify.com,2056,510,14.7%,888,46,8613,9188,575,26481.31,28297.68,1816.36,11,11,0
fundingpips.com,3927,682,12.8%,716,54,12372,14116,1744,11138.92,15226.42,4087.50,57,57,0
the5ers.com,4062,563,10.3%,835,65,10087,9931,-156,5555.75,4526.92,-1028.83,444,412,-32
propfirmmatch.com,4921,545,8.6%,853,49,29970,30533,563,105423.97,70708.85,-34715.13,649,588,-61
fundednext.com,8042,716,7.5%,682,61,21890,21140,-751,30307.45,30141.81,-165.64,327,368,41
topstep.com,10339,703,5.9%,695,59,228370,345803,117433,728192.97,1103822.59,375629.62,439,457,18
tradelocker.com,4999,373,5.8%,1025,49,24415,26718,2303,44575.99,49038.57,4462.58,263,281,18
earn2trade.com,5346,310,4.5%,1088,59,7110,6070,-1040,14265.71,11469.94,-2795.77,716,745,29
instantfunding.io,173,23,2.3%,780,45,2477,1860,-617,5795.11,3911.38,-1883.72,141,112,-29
axi.com,19705,439,2%,959,72,47887,37264,-10623,53076.65,52976.67,-99.99,1811,1670,-141
ninjatrader.com,20329,255,1.1%,1143,77,83602,88459,4857,313757.15,325357.38,11600.23,6845,7045,200
babypips.com,50674,416,0.7%,982,75,75083,64589,-10494,77247.95,71158.86,-6089.09,7059,8954,1895
oanda.com,88873,594,0.6%,804,84,570872,726703,155831,704026.38,818491.34,114464.97,3531,3577,46
forex.com,106398,390,0.3%,1008,76,343635,505468,161833,716602.11,817156.84,100554.73,10686,11409,723
ig.com,153342,346,0.2%,1052,81,351600,309543,-42056,515375.10,451177.11,-64197.99,19964,19552,-412
cmegroup.com,164963,217,0.1%,1181,85,519429,469601,-49829,618464.88,568983.32,-49481.56,13879,12834,-1045
discord.com,353402,83,0%,1315,94,14018430,14579731,561301,1602455.64,1532794.17,-69661.46,67320,66810,-510
tradingview.com,749754,364,0%,1034,91,6316262,5920356,-395905,5383830.84,5634850.51,251019.67,236589,245283,8694
